Title,video_id,director,int_production_company,agency,sa_service_co,year,Portfolio Categories,Portfolio Tags,menu_order
Grobi 'Roller Skater',https://vimeo.com/1111756831,Markus Bader,"FFP, Vienna",,,20041101,Orange Films,Commercials,31
Suzuki GSX R1000 'Magnification of Beauty',https://vimeo.com/1111756786,Nico Beyer,"Chased by Cowboys, Paris","Hakuhodo, Tokyo",,20041101,Orange Films,Commercials,32
Suzuki GS650 'Voices',https://vimeo.com/1111756675,Nico Beyer,"Chased by Cowboys, Paris","Hakuhodo, Tokyo",,20041101,Orange Films,Commercials,33
Saab 'Vapour Trails',https://vimeo.com/1111756638,Daniel Barber,"Rose Hackney Barber, London","Lowe Brindfors, Stockholm",,20041201,Orange Films,Commercials,34
Vodafone 'Paper Planes',https://vimeo.com/1111756606,Rory Kelleher,"BRW & Partners, Milan","McCann Ericson, Milan",,20050101,Orange Films,Commercials,35
Touring Assistance 'Bull',https://vimeo.com/1111756570,Francois Mercier,"Lovo Films, Brussels","Nextage, Brussels",,20050201,Orange Films,Commercials,36
Touring Assistance 'Faucet',https://vimeo.com/1111756518,Francois Mercier,"Lovo Films, Brussels","Nextage, Brussels",,20050201,Orange Films,Commercials,37
Touring Assistance 'Parasol',https://vimeo.com/1111756464,Francois Mercier,"Lovo Films, Brussels","Nextage, Brussels",,20050201,Orange Films,Commercials,38
Mercator Insurance 'Nature/Trees',https://vimeo.com/1111756413,Frank DeVos,"Lovo Films, Brussels","Duval Guillaume, Antwerp",,20050301,Orange Films,Commercials,39
Fanta 'Le Bonne Etoile',https://vimeo.com/1111756369,Jacobs & Briére,"Les Télécréateurs, Paris","Ogilvy & Mather, Paris",,20050301,Orange Films,Commercials,40
Nintendo Pokemon 'Unnatural Phenomenon',https://vimeo.com/1111756312,Ben & Joe Dempsey,"Rock Fight, Los Angeles",,,20050301,Orange Films,Commercials,41
BVN 'Belgian Garden',https://vimeo.com/1111756281,Serdar,"Lovo Films, Brussels","NLIL, Brussels",,20051101,Orange Films,Commercials,42
ITV Idents,https://vimeo.com/1111756243,Simon Cracknell,"Red Bee Media, London","ITV, London",,20051101,Orange Films,Commercials,43
Renault Scenic 'Ceilings',https://vimeo.com/1111756218,Ben and Joe Dempsey,"Soixan7e Quin5e, Paris / Knucklehead, London","Publicis, Paris",,20060101,Orange Films,Commercials,44
Amora 'Le Dragon',https://vimeo.com/1111756181,Nikolai Galitzine / Alexander Ada,"Les Producers, Paris","TBWA, Paris",,20060101,Orange Films,Commercials,45
AXA 'Prevention',https://vimeo.com/1111756131,Sebastian Reed,"Camp David Film, Stockholm / Les Telecreateurs, Paris","Saatchi & Saatchi, Paris",,20051101,Orange Films,Commercials,46
AXA 'Oligo',https://vimeo.com/1111755935,Sebastian Reed,"Camp David Film, Sweden / Les Telecreateurs, France","Saatchi & Saatchi, Paris",,20051101,Orange Films,Commercials,47
Cetelem 'Les Autostoppeuses',https://vimeo.com/1111755845,Rafael Fernandez,"Les Télécréateurs, Paris","TBWA, Paris",,20060101,Orange Films,Commercials,48
Fiat Croma 'It Takes A Great Dad',https://vimeo.com/1111755813,David Frankham,"Les Télécréateurs, Paris","Leo Burnett, Paris",,20060201,Orange Films,Commercials,49
Magnet 'Dreamers',https://vimeo.com/1111755787,Paddy Breathnach,"Top Films, Dublin","Bloom, Dublin",,20060101,Orange Films,Commercials,50
Magnet 'More',https://vimeo.com/1111755756,Paddy Breathnach,"Top Films, Dublin","Bloom, Dublin",,20060101,Orange Films,Commercials,51
Zoegas 'Folja John',https://vimeo.com/1111755726,Robert Jitzmark,"Camp David Film, Stockholm","McCann, Malmö",,20060301,Orange Films,Commercials,52
Loka 'The Myth',https://vimeo.com/1111755684,Christoffer von Reis,"Camp David Film, Stockholm","Åkestam Holst, Stockholm",,20060301,Orange Films,Commercials,53
Toyota Corolla 'The Pilot',https://vimeo.com/1111755632,Dan Nathan,"Chased By Cowboys, Paris","Saatchi & Saatchi, Warsaw",,20061101,Orange Films,Commercials,54
Bifi 'Cupstacking',https://vimeo.com/1111755589,Moritz Laube,"Embassy of Dreams, Munich","Philipp & Keuntje, Hamburg",,20061201,Orange Films,Commercials,55
Bifi 'Piggyback',https://vimeo.com/1111755553,Moritz Laube,"Embassy of Dreams, Munich","Philipp & Keuntje, Hamburg",,20061201,Orange Films,Commercials,56
Coop 'Parking',https://vimeo.com/1111755512,Manu Coeman,"Embassy of Dreams, Munich","Springer & Jacoby, Hamburg",,20061201,Orange Films,Commercials,57
Citroen C1 'Rubikub',https://vimeo.com/1111755468,No Brain,"Cosa Productions, Paris","Scher Lafarge, Paris",,20070101,Orange Films,Commercials,58
Nokia Siemens Networks,https://vimeo.com/1111755351,Jack Laurance,"Moving Brands, London","Nokia Siemens, London",,20070101,Orange Films,Commercials,59
Belgacom 'Marathon',https://vimeo.com/1111755127,Nic & Sune,"Lovo Films, Brussels","Duval Guillaume, Brussels",,20070101,Orange Films,Commercials,60
3 Bit 'Hydrant Revenge',https://vimeo.com/1111755038,Jean-Marc Piche,"Lucky Man Films, Prague / Transparent, London","Ogilvy & Mathe, Prague",,20070201,Orange Films,Commercials,61
Kingsford 'Tailgate',https://vimeo.com/1111755014,Pep Bosch,"Rock Fight, Los Angeles","DDB, San Francisco",,20070301,Orange Films,Commercials,62
Coop 'Seduction',https://vimeo.com/1111754961,Moritz Laube,"Embassy of Dreams, Munich","Springer & Jacoby, Hamburg",,20070201,Orange Films,Commercials,63
Loka 'The Fugitive',https://vimeo.com/1111754910,Christoffer von Reis,"Camp David Film, Stockholm","Åkestam Holst, Stockholm",,20070201,Orange Films,Commercials,64
Air Emirates 'Emirates',https://vimeo.com/1111754707,Nic Auerbch,"Storm Films, London","Face to Face Limited, Dubai",,20070301,Orange Films,Commercials,65
GMF Insurance 'Bonus',https://vimeo.com/1111754649,Valerie Pirson,"Partizan Lab, Paris","Devarrieux Villaret, Paris",,20070301,Orange Films,Commercials,66
Asahi Kasei,https://vimeo.com/1111754621,Kousuke Ishige,"Robot Communications, Tokyo","Dentsu, Tokyo",,20071101,Orange Films,Commercials,67
Center Parcs 'Clap Your Hands',https://vimeo.com/1111754585,Nic & Sune,"Lovo Films, Brussels","Duval Guillaum, Brussels",,20071101,Orange Films,Commercials,68
Direct Line 'Nose Dive',https://vimeo.com/1111754557,John Pardue,"The Pavilion@ Serious Pictures, London","M&C Saatchi, London",,20071201,Orange Films,Commercials,69
Johnson’s Baby Shampoo 'Happy Hair',https://vimeo.com/1111754530,Shizue,"Transparent, London","Lowe, London",,20080101,Orange Films,Commercials,70
Ladbrokes 'Parachute',https://vimeo.com/1111754484,Zak & Dan,"Knucklehead, London","M&C Saatchi, London",,20080201,Orange Films,Commercials,71
Ladbrokes 'Climb',https://vimeo.com/1111754444,Zak & Dan,"Knucklehead, London","M&C Saatchi, London",,20080201,Orange Films,Commercials,72
Fake Bake 'Live the Lie',https://vimeo.com/1111754408,Anders Hallberg,"Chief Productions, Manchester",TBWA\Manchester,,20080201,Orange Films,Commercials,73
Ocean Spray 'Mud',https://vimeo.com/1111754369,Dan Nathan,"Crossroads, London","The East Agency, London",,20080201,Orange Films,Commercials,74
Ocean Spray 'Salt',https://vimeo.com/1111754341,Dan Nathan,"Crossroads, UK","The East Agency, London",,20080201,Orange Films,Commercials,75
C&A 'Hot Weeks',https://vimeo.com/1111754312,John Buche,"Embassy of Dreams, Munich","Steinle Melches, Düsseldorf",,20080201,Orange Films,Commercials,76
Viking 'Pushing',https://vimeo.com/1111754280,Johan Tappert,"Embassy of Dreams, Munich","Euro RSCG, Düsseldorf",,20080201,Orange Films,Commercials,77
Think 'Hold Your Breath',https://vimeo.com/1111754260,Nic & Sune,"Motion Blur, Oslo","Think, Oslo",,20080201,Orange Films,Commercials,78
Allianz 'Hand',https://vimeo.com/1111754226,Jaromir Maly,"Globe Productions, Bratislava","Roko, Bratislava",,20080201,Orange Films,Commercials,79
Zomig Nasal 'Nightmare',https://vimeo.com/1111754190,Christoffer von Reis,"Camp David Film, Stockholm",TBWA\Stockholm,,20080201,Orange Films,Commercials,80
Direct Line 'Landlord',https://vimeo.com/1111754161,John Pardue,"The Pavilion@ Serious Pictures, London","M&C Saatchi, London",,20080201,Orange Films,Commercials,81
Direct Line 'Tradesman',https://vimeo.com/1111754131,John Pardue,"The Pavilion@ Serious Pictures, London","M&C Saatchi, London",,20080201,Orange Films,Commercials,82
Direct Line 'Shop',https://vimeo.com/1111754095,John Pardue,"The Pavilion@ Serious Pictures, London","M&C Saatchi, London",,20080201,Orange Films,Commercials,83
National Blood Supply 'Pile-Up',https://vimeo.com/1111754065,Peter Webber,"Serious Pictures, London","DLKW, London",,20080301,Orange Films,Commercials,84
National Blood Supply 'Caesarean',https://vimeo.com/1111754027,Peter Webber,"Serious Pictures, London","DLKW, London",,20080301,Orange Films,Commercials,85
T-Com 'Magio',https://vimeo.com/1111753984,Vladislav Struhar,"Globe Productions, Bratislava","Istropolitana D’arcy, Bratislava",,20080301,Orange Films,Commercials,86
Mercedes 'Ambition',https://vimeo.com/1111753934,Johnny Green,"Knucklehead, London","AMV BBDO, London",,20080601,Orange Films,Commercials,87
Royal Mail 'Grow',https://vimeo.com/1111753890,Johnny Green,"Knucklehead, UK","AMV BBDO, London",,20080601,Orange Films,Commercials,88
Telenor 'Russia',https://vimeo.com/1111753863,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20080801,Orange Films,Commercials,89
Telenor 'Japan',https://vimeo.com/1111753827,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20080801,Orange Films,Commercials,90
Telenor 'No vs Yes',https://vimeo.com/1111753788,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20080801,Orange Films,Commercials,91
Telenor 'Nagging',https://vimeo.com/1111753745,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20080801,Orange Films,Commercials,92
Telenor 'USA',https://vimeo.com/1111753695,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20080801,Orange Films,Commercials,93
XXL 'War of Sports',https://vimeo.com/1111753624,Mathis Fürst & Henrik Sander,"Monster Commercials, Oslo","Schjaerven, Oslo",,20081001,Orange Films,Commercials,94
Libero 'Tiger',https://vimeo.com/1111753573,Anders Skog,"Anders Skog Films, Stockholm","Forsman & Bodenfors, Gothenburg",,20081101,Orange Films,Commercials,95
Ocean Spray 'Raspberry',https://vimeo.com/1111753537,Dan Nathan,"Crossroads, London","The East Agency, London",,20081101,Orange Films,Commercials,96
Ocean Spray 'Vibrations',https://vimeo.com/1111753513,Dan Nathan,"Crossroads, London","The East Agency, London",,20081101,Orange Films,Commercials,97
Ocean Spray 'Honey',https://vimeo.com/1111753479,Dan Nathan,"Crossroads, London","The East Agency, London",,20081101,Orange Films,Commercials,98
Canal Digital 'Fun with Jim and Thea Lang',https://vimeo.com/1111753447,Johan Skog,"Camp David, Sweden",,,20081201,Orange Films,Commercials,99
Hyperpoll 'Laat Hooikoorts Uw Lente',https://vimeo.com/1111753407,Uwo Mostertman,"Lovo Films, Brussels","Seven 20, Brussels",,20090101,Orange Films,Commercials,100
Telenor 'New Zealand',https://vimeo.com/1111753374,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20090101,Orange Films,Commercials,101
Telenor 'Saudi Arabia',https://vimeo.com/1111753343,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20090101,Orange Films,Commercials,102
Telenor 'Mexico',https://vimeo.com/1111753307,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20090101,Orange Films,Commercials,103
Telenor 'Italy',https://vimeo.com/1111753269,Christoffer von Reis,"Camp David Film, Stockholm","Garbergs Reklambyrå, Stockholm",,20090101,Orange Films,Commercials,104
Morgan’s Spiced Rum 'A Sense of Adventure',https://vimeo.com/1111753231,Zak & Dan,"Knucklehead, London","KK Outlet, London",,20090201,Orange Films,Commercials,105
Pearle 'Blauw',https://vimeo.com/1111753202,Floris Kingma,"Lovo Films, Brussels","LDV United, Antwerp",,20090201,Orange Films,Commercials,106
Jillz 'Cider',https://vimeo.com/1111753155,Matt Nee & Orlando Cubitt,"Fat Fred’s, Amsterdam","Pink & Poodle, Amsterdam",,20090201,Orange Films,Commercials,107
Pantene 'Phoenix II',https://vimeo.com/1111753111,Frederic Potier,"Forward Int, Prague",Grey Worldwide,,20090201,Orange Films,Commercials,108
Brico 'The Art Washer',https://vimeo.com/1111753092,Floris Kingma,"Lovo Films, Brussels",TBWA,,20090301,Orange Films,Commercials,109
Trident 'Tricky',https://vimeo.com/1111753060,Simon Cracknell,"Th2ng, London","JWT, London",,20090301,Orange Films,Commercials,110
Danske Bank 'Direct',https://vimeo.com/1111753028,Adam Berg,"Camp David, Stockholm","DDB, Stockholm",,20090301,Orange Films,Commercials,111
Canal+ 'Bank Robbery',https://vimeo.com/1111752980,Robert Jitzmark,"Camp David, Stockholm",Saatchi & Saatchi,,20090301,Orange Films,Commercials,112
Svenska Spel 'Kvittot',https://vimeo.com/1111752935,Marlind&Stein,"Camp David, Stockholm","Forsman & Bodenfors, Gothenburg",,20090401,Orange Films,Commercials,113
Ramlösa 'Honesty is Glorious',https://vimeo.com/1111752887,Felix Herngren & Fredrik Falck,"FLX, Stockholm","Åkestam.Holst, Stockholm",,20100201,Orange Films,Commercials,114
Pond’s Flawless Radiance 'The Diary',https://vimeo.com/1111752834,Vadim Jean,"The Mob Film Co., London","Ogilvy & Mather, Asia Pacific",,20100201,Orange Films,Commercials,115
FBTO 'Living Wishes Become True',https://vimeo.com/1111752793,Nic & Sune,"Lovo Films, Brussels","LBI Lost Boys, Amsterdam",,20100301,Orange Films,Commercials,116
Minute Maid 'Discover The Pulp',https://vimeo.com/1111752750,Stephen Watkins,"XYZ Studios, Melbourne","Ogilvy & Mather, Singapore",,20100401,Orange Films,Commercials,117
Joyvalle 'Chalk Drawings',https://vimeo.com/1111752712,Francois Mercier,"Lovo Films, Brussels","Edison \ 7Beaufort, Heverlee",,20110301,Orange Films,Commercials,118
Samsonite 'Campaign',https://vimeo.com/1111752653,Inti Delahaye & Dirk Verheye,"Lovo Films, Brussels","Saatchi & Saatchi, Strombeek",,20120901,Orange Films,Commercials,119
Ampya	'All Music',https://vimeo.com/1111752600,Kronck,"Embassy of Dreams, Munich",Sugar Ray,,20130101,Orange Films,Commercials,120
Komercni Bank 'Surf Rental',https://vimeo.com/1111752547,Daniel Ruzicka,"Simple Film, Prague","Havas Worldwide, Prague",,20130201,Orange Films,Commercials,121
KFC 'Hot Bites',https://vimeo.com/1111752509,John Doe,"Sterntag, Berlin","Service Plan and Neverest GMBH, Munich",,20131101,Orange Films,Commercials,122
KFC 'On My Way',https://vimeo.com/1111752434,John Doe,"Sterntag, Berlin","Service Plan and Neverest GMBH, Munich",,20131101,Orange Films,Commercials,123
KFC 'Gourmet Chicken',https://vimeo.com/1111752390,John Doe,"Sterntag, Berlin","Service Plan and Neverest GMBH, Munich",,20131101,Orange Films,Commercials,124
KFC 'Hairy Friend',https://vimeo.com/1111752349,John Doe,"Sterntag, Berlin","Service Plan and Neverest GMBH, Munich",,20131101,Orange Films,Commercials,125
UBS 'Mobile Banking Summer',https://vimeo.com/1111752304,Thomas Dirnhofer,"Condor Films, Zurich","Alpha 245 / Leo Burnett Schweiz AG, Zurich",,20131201,Orange Films,Commercials,126
Coca-Cola 'Where Will Happiness Strike Next?',https://vimeo.com/1111752193,John X Carey,"Paranoid US, Los Angeles","Driver, New York",,20131201,Orange Films,Commercials,127
Education First 'Make Your Own Tomorrow',https://vimeo.com/1111752117,Niclas Larsson,"Camp David Film, Stockholm",Education First,,20140101,Orange Films,Commercials,128
Passendale 'Le Rondeur de Chez Nous',https://vimeo.com/1111752064,Serdar Donmez,"Lovo Films, Brussels","Air, Brussels",,20140201,Orange Films,Commercials,129
Spa Fruit 'Lawnmower',https://vimeo.com/1111752025,Manu Coeman,"Lovo Films, Brussels","Publicis, Brussels",,20140201,Orange Films,Commercials,130
Propel 'Be Electric',https://vimeo.com/1111751854,Jake Banks,"Golden, Los Angeles","Mono, Minneapolis",,20141201,Orange Films,Commercials,131
Gallia 'Welcome to the World',https://vimeo.com/1111751786,Jörn Threlfall,"Bandits, Paris","BETC, Paris",,20150201,Orange Films,Commercials,132
Novo Nordisk Levemir 'The First Step',https://vimeo.com/1111751722,Casper Balslev,"New Land, Copenhagen","McCann, Copenhagen",,20150201,Orange Films,Commercials,133
Cuprinol 'The Cool Couple',https://vimeo.com/1111751680,Anna Carpen & Louis Jopling,"Riff Raff Films, London","18 Feet & Rising, London",,20150201,Orange Films,Commercials,134
Rema 1000 'BBQ',https://vimeo.com/1111751586,Andreas Rønning,"Kandidat, Oslo","D’Accord, Oslo",,20150301,Orange Films,Commercials,135
